title_en,content_en,url
Military history,"Military history is the study of armed conflict in the history of humanity, and its impact on the societies, cultures and economies thereof, as well as the resulting changes to local and international relationships. Professional historians normally focus on military affairs that had a major impact on the societies involved as well as the aftermath of conflicts, while amateur historians and hobbyists often take a larger interest in the details of battles, equipment, and uniforms in use. The essential subjects of military history study are the causes of war, the social and cultural foundations, military doctrine on each side, the logistics, leadership, technology, strategy, and tactics used, and how these changed over time. On the other hand, just war theory explores the moral dimensions of warfare, and to better limit the destructive reality caused by war, seeks to establish a doctrine of military ethics. As an applied field, military history has been studied at academies and service schools because the military command seeks to not repeat past mistakes, and improve upon its current performance by instilling an ability in commanders to perceive historical parallels during a battle, so as to capitalize on the lessons learned from the past. When certifying military history instructors the Combat Studies Institute deemphasizes rote detail memorization and focuses on themes and context in relation to current and future conflict, using the motto ""Past is Prologue."" The discipline of military history is dynamic, changing with development as much of the subject area as the societies and organisations that make use of it. The dynamic nature of the discipline of military history is largely due to the rapid change of military forces, and the art and science of managing them, as well as the frenetic pace of technological development that had taken place during the period known as the Industrial Revolution, and more recently in the nuclear and information ages. An important recent concept is the Revolution in Military Affairs (RMA) which attempts to explain how warfare has been shaped by emerging technologies, such as gunpowder. It highlights the short outbursts of rapid change followed by periods of relative stability. Popular versus academic military history In terms of the history profession in major countries, military history is an orphan, despite its enormous popularity with the general public. William H. McNeill points out: This branch of our discipline flourishes in an intellectual ghetto. The 144 books in question [published in 1968-78] fall into two distinct classes: works aimed at a popular readership, written by journalists and men of letters outside academic circles, and professional work nearly always produced within the military establishment.... The study of military history in universities remains seriously underdeveloped. Indeed, lack of interest in and disdain for military history probably constitute one of the strangest prejudices of the profession. In recent decades University level courses in military history remain popular; often they use films to humanize the combat experience. For example, Eugene P. A. Scleh, history professor at the University of Maine, has explored the advantages and problems of teaching a course of ""Modern War and Its Images"" entirely through films. Students said they found the documentaries more valuable than the dramas. However, military historians are frustrated by their marginal status in major history departments. Academic historians concerned with military topics have their own scholarly organization, Society for Military History. Since 1937 it has published The Journal of Military History. Its four issues a year include scholarly articles reviews of new books, and a bibliography of new publications and dissertations. The Society has 2300 members, holds an annual convention, and gives out prizes for the best scholarship. Historiography of military history Historiography is the study of",https://en.wikipedia.org/wiki/Military_history
Battle of Pitnak,"The Battle of Pitnak was fought in 1740 between Nader Shah and Ilbars Khan II, the ruler of the Khiva Khanate. Fought in Pitnak, now in Uzbekistan, the battle took place within the framework of Nader's Central Asian campaign. Background When Nader was in India, the warriors of the Khanate of Khiva periodically attacked and plundered Khorasan. In response to this, the crown prince of Nader Shah in Khorasan, Rza Qoli Mirza Afshar, marched into Central Asia and won a victory. But Nader did not allow him to continue his attacks. Because his goal was to return and carry out a larger campaign under his command. After returning from a great victory in India, Nader marched into Central Asia. His target was Bukhara judge Abulfaz Khan and Khiva judge Ilbars Khan. At the end of 1740, Abulfaz Khan was defeated. Abulfaz Khan, who declared that he would submit to Nader after he was defeated, was placed on the head of Turkestan rulership. Although such an offer was made to Ilbars Khan, he rejected this offer. First collisions While Nader Shah was still in Bukhara, he wrote to Ilbars Khan and asked him to follow him as Abulfaz Khan, but this offer was rejected. Ilbars Khan also decided to send a 30,000-strong detachment of Uzbek, Aral, Yomut and Turkmen cavalry under the leadership of Muhammad Ali Khan Kidil to Charjo. This group had a duty to reach Charjo faster than Nader Shah's army, destroy the passage over the Amu Darya, and thereby make it difficult for Nader Shah's troops to cross the river. Ilbars Khan was sure that he would scatter Nader Shah's troops with his army under the leadership of Muhammad Ali Khan and force him to retreat. When that group of troops reached the distance of 6 miles from Charjo, Nader Shah learned about the situation. It was clear that the capture of the crossing over the Amu Darya near Charjo would complicate Nader Shah's march to Khwarazm. Therefore, Nader Shah left behind the cargo and supplies of the troops and accelerated the movement towards Charjo with his group of experienced warriors. The baggage and supplies left behind were to continue the movement with the accompanying party and join Nader Shah at Charjo. Rza Qoli Mirza was entrusted with the leadership of that group. There were 20,000 warriors in the detachment under the leadership of Nader Shah. In addition, Nader Shah sent a message to Muhammad Reza Khan Qirkhli, Beylerbey of Merv, to join him with the 3,000-strong Merv detachment assigned to guard the Charjo area. Since the people of Merv are constantly at enmity with the Turkmen or Uzbek tribes, Nader Shah considered it useful to use the Merv detachment against those tribes. Nader Shah was also aware that Ilbars Khan had a strong and fighting army. Therefore, during the movement towards Charjo, he ensured the protection of the troops from the flanks, rear and front, as well as the compact movement of the troops. In time, Nader Shah reached Charjo, called the Amu Darya river and camped on the other bank. After a day, the remaining forces came and caught up with him. After reaching Charjo, Nader Shah agreed to the return of Rza Qoli Mirza. After completing the necessary organizational work in Charjo, Nader Shah moved with his army to the place called Deveboyunu valley. Before leaving, he regrouped the army and the entire army was divided into four large groups. The main part of the troops was advancing behind this group. The other two groups formed flank guard groups. In addition, a detachment of 6,000 people moved along the coast and provided protection for the ship carrying supplies in the river. When they reached Deveboyunu valley, Nader Shah ordered the troops to stop, and by his order, the loads of the troops were gathered together and a special detachment was assigned to guard it. Nader Shah's arrival at Deveboyunu valley coincides with the last days of October 1740. In the battle between the vanguard units of both armies, Nader's units won. Battle Opposite parties came face to face near",https://en.wikipedia.org/wiki/Battle_of_Pitnak
Capture of Samarkand (1740),"The capture of Samarkand (Persian: فتح سمرقند) one of the political and economic centers of the region, during his Central Asian campaign. According to Nader Shah, who was an admirer of Amir Timur, Samarkand had a symbolic meaning. The capture occurred in 1740 and Nader Shah entered Samarkand almost unopposed. According to legend, Nader Shah brought the double doors of the Bibi-Khanym Mosque made of gold, silver, precious stones, jewelry and other precious metals, located in Samarkand, as well as a number of architects, artists, and scientists, to the center of the Afshar Empire. Background The foundations of the campaign that would lead to the capture of Samarkand appeared in the 1730s. At this time, Nader was on the Indian campaign, and his successor, Prince Reza Qoli Mirza Afshar, had managed to win several brilliant victories over the states of Central Asia. Rzagulu's capture of Khiva angered Ilbars Khan, the ruler of Khiva, who threatened him to launch a counterattack. Since Nader himself was far away, he ordered his son to end hostilities. His plan was to carry out more successful operations under his command after his return. After the annexation of Khiva, Nader had Ilbars executed and replaced him with Abulfaz Khan. Nadir thought he would be more faithful. As a result of this campaign, a victory was won over Central Asia that almost none of the states which existed in the region, including the Safavids, could achieve. The start of the campaign to Central Asia Nader Shah wanted to conquer Turkestan. As the first step for this, he built a bridge over the Amu Darya. This bridge was convenient for two loaded camels to cross side by side. After the construction of the bridge which took 45 days, fortifications were erected on both sides of the bridge according to the order of Nader. Five thousand soldiers were placed in each fortification. After these preparations, Afsharid's army under the command of Nader Shah began to march towards Bukhara, and despite the fact that the army was exhausted, it quickly launched attacks. From the camp on the shore of Amu Darya, Nader Shah sent an army of eight thousand people to Reza Qoli Mirza to capture the city of Charjo. Another commander, Ali Qoli Khan, was instructed to advance towards the cities located in the east of the river and capture unsubordinated places. By the time Reza Qoli Mirza approached Charjo, the city had long been left. The population of the city heard about the approach of Afsharid's army, left the city and went to Khwarazm. Ali Qoli Khan also subdued the necessary places without facing strong resistance. The governor of Bukhara, Abulfaz Khan, was afraid of the strength of Nader's army and sent the vizier Bi Ataliq to Nader's camp. Nader, who welcomed the ambassador with respect, welcomed his peace offer, but rejected Abulfaz Khan's offer to meet in Garagul. Nadir said that if Abulfaz Khan wanted peace, he should have come to this camp himself, and this request was accepted. But at this time, Abulfaz Khan received the news that an army of 100,000 people gathered from different tribes was ready to help him. He thought about the possibility of defeating Nader with this army and increasing his influence in the region, and he refused to negotiate with Nader about peace. Many nobles and army chiefs of Turkestan also defended Abulfaz Khan's decision to go to war with Nader. At the end, Abulfaz Khan prepared his armies and left Bukhara. He wanted to meet Nader in the precinct called Islam, which is located two miles from Bukhara. After Nader saw that there was no news from Abulfaz Khan, he learned what was happening through his scouts and started discussions with his generals. To ensure the security of the troops, the duty of guard was assigned to a group of 3,000 under the leadership of Haji Khan Kurd and Gasim Bay Afshar. This guard unit came face to face with Abulfaz Khan's guard unit near Qatartut and a battle took place between them. Nader's troops won this heavy bat",https://en.wikipedia.org/wiki/Capture_of_Samarkand_(1740)
City guard,"A city guard, city watch, town guard, or town watch were local militia companies formed to enforce municipal laws. Usually subordinate to the local municipal government, many cities had their own guard formations which doubled as police and military forces in times of need. Algeria The Garde Communale was a paramilitary security force that existed during the Algerian Civil War. Brazil Municipal Guards are the municipal police of Brazil Poland City Guards are the municipal police of Poland. Spain The Guàrdia Urbana is the municipal police of Barcelona. Ukraine Many Ukrainian cities such as Odesa have their own municipal guards. United States After 1830, with the Indian removal policy of the federal government giving white settlers a monopoly over the land east of the Mississippi, many states disbanded their unorganized militias in favor of volunteer militia units who frequently called themselves city or national guards. These companies performed functions such as assisting local law enforcement, providing troops for ceremonies and parades or acting as a benevolent social club. The groups of company size were usually uniformed and armed themselves as well as erecting armories through their own contributions. Volunteer units of sufficient size could elect their own officers and apply for a state charter under names that they themselves chose. Companies With the unification of laws and centralization of state power (such as the Municipal Police Act of 1844 in New York City), such formations became increasingly incorporated into state-run police forces. The Militia Act of 1903 remade city guard forces by stipulating all organized militia companies were to be incorporated into the Army National Guard or Naval Militias. See also Belgian Civic Guard Cohortes urbanae Guardia Urbana Schutterij Internal security Public Security Force (disambiguation) Public security (disambiguation)",https://en.wikipedia.org/wiki/City_guard
Dioscuri (World War I),"During World War I, the term Dioscuri was used to refer to the OHL duo of Erich Ludendorff and Paul von Hindenburg, after the Dioscuri of Greek mythology. These two soldiers, emboldened by their success against the Russians, exercised full military power in the Reich from 1916. The dismissal of Theobald von Bethmann-Hollweg on July 19, 1917, marked a milestone in the rise of the two soldiers, who gradually imposed their vision of managing the conflict on Kaiser Wilhelm II, forcing him to establish a military dictatorship disguised by the institutions of the Reich. Circumstances surrounding the duo's creation Success on the Eastern Front By the end of 1915, the two leaders of the Eastern Front had emerged as credible successors to Erich von Falkenhayn as Chief of the General Staff of the Kaiserliche Heer. Indeed, their victories in 1914 gave them the prestige of ""saviors of the nation"". However, the relationship between Hindenburg and Ludendorff, who was then in charge of the Eastern Front, and the Chief of the General Staff, Erich von Falkenhayn, soon soured. The two commanders of the Eastern Front saw it as the main front of conflict for the Central Powers, but Falkenhayn believed that German victory could only come from a decision to confront France. Applying his ideas to the personnel on the field, he allocated to the Eastern Front only what was strictly necessary to hold the positions he won. Allied offensive, summer 1916 The Allies planned concerted offensives against the Central Powers in Galicia, France, and Italy at the Chantilly Conference in late 1915. The first, launched on the Eastern Front on June 4, 1916, produced significant results against Austro-Hungarian troops, who were quickly overwhelmed, but it was halted at the edge of the Carpathian Mountains for lack of sufficient air power. This offensive was followed by the Franco-British push on the Somme, launched on a German front weakened by the retreats from the Eastern Front and on the verge of being torn apart. This gigantic battle of attrition robbed the German army of its most experienced cadres. These two offensives were supported by an Italian attack on Asiago, launched on August 6, 1916, which broke through the Austro-Hungarian front on August 9, but failed in its exploitation phase, failing to turn the pursuit of the Austro-Hungarian units into a rout. The reaction of the Central Powers In the face of this concerted offensive, the German military reiterated its desire for a reorganization of command on the Eastern front. On July 26, 1916, the Northern Front was placed under the responsibility of Hindenburg, assisted by Ludendorff, and the Southern Front was nominally entrusted to the Austro-Hungarian Crown Prince Charles. Nomination Erich von Falkenhayn's position became increasingly precarious with the worrisome military situation of the Central Powers in midsummer 1916. His strategic decisions were questioned, and his advocacy of social measures for industrial workers led industrialists to criticize his munitions policy. These grievances led the emperor to question the position of his Chief of Staff and to focus on the two German leaders of the Eastern Front: Paul von Hindenburg and his second-in-command, Erich Ludendorff. On August 29, 1916, Wilhelm II asked them to come to Pless, which was then the headquarters of the General Staff. Erich von Falkenhayn, who had not been informed of this invitation by his sovereign, felt disgraced and, drawing the consequences, asked to be relieved of his duties. Action during the conflict Immediately after their appointment, the two soldiers set to work and quickly became the top commanders of the Quadruplice for Wilhelm II. People responsible for OHL Wilhelm II appointed Hindenburg Chief of the General Staff and Ludendorff First Quartermaster General, a title created for the occasion, due to their popularity with the German people. The coordination of offensive actions by the central powers As soon as they w",https://en.wikipedia.org/wiki/Dioscuri_(World_War_I)
Domninus (general),"Domninus (Δομνῖνος) was a 6th century Byzantine military general of Egyptian origin who served during the reign of Justinian I (r. 527–565). He is attested for his participation in the Lazic War against the Sasanian Empire in the Caucasus region. Biography Domninus was Egyptian by birth; details of his early life and family are limited. His career illustrates the integration of native Egyptians into the senior officer corps of the Roman and Byzantine military. He is mentioned by the court historian Agathias, who records that Domninus commanded cavalry units during the Lazic War in the Caucasus. The war, a protracted conflict between the Byzantine and Sasanian empires over the strategic region of Lazica (modern-day western Georgia), saw extensive fighting throughout the 550s. Agathias's mention places Domninus within this theater, though the exact dates of his service are not detailed in surviving texts. Significance Domninus illustrates the social and military dynamics of the 6th-century Byzantine Empire. His Egyptian origin and rank as a cavalry commander show that individuals from the province of Egypt could attain positions of military responsibility far from their homeland. He is among several identifiable native Egyptians, such as the generals Saint Menas and Calonymus of Alexandria, who reached middle and upper echelons of the Byzantine army.",https://en.wikipedia.org/wiki/Domninus_(general)
Edward S. Farrow,"Edward Samuel Farrow (April 20, 1855 – September 8, 1926) was a United States Army officer, author, and educator best known for his contributions to military training and reference works in the late 19th and early 20th centuries. born in Worcester County, Maryland, was an author and a commander in the American Indian Wars of the late 19th century. He is particularly known for his service in the Sheepeater Indian War. Farrow was a graduate of the West Point Military Academy in 1876, and was a commanding officer of Indian Scouts in the Departments of the Columbia. He went on to become Assistant Instructor of Tactics at the US Military Academy (West Point), and published prolifically on the subject of Native American Indians, Military Training, and Mountain Scouting. Works Farrow, Edward S. (2000) [First published in 1881]. Mountain scouting: a hand-book for officers and soldiers on the frontiers (Print book). Foreword by Jerome A. Greene. Norman, Oklahoma: University of Oklahoma Press. ISBN 978-0-8061-3209-9. OCLC 42765211. A Military System of Gymnastics Exercises and a System of Swimming Farrows Manual on Military Training (1920) American Small Arms - A veritable Encyclopedia of Knowledge for Sportsmen and Military Men Farrow, Edward Samuel (1895) [First published in 1885]. Farrow's Military Encyclopedia; A Dictionary of Military Knowledge (Print book). Vol. 3 volumes, illustrated with maps and about three thousand wood engravings (2nd ed.). New York: Military-Naval Publishing Company. OCLC 993066046. Mineral Resources of Bland County in Southwestern Virginia Farrow, Edward S. (1918). A dictionary of military terms (Print book) (Rev. ed.). New York: Thomas Y. Crowell Co. OCLC 1266763. Gas Warfare",https://en.wikipedia.org/wiki/Edward_S._Farrow
Glossary of Chinese military writings,"This ist a Glossary of Chinese military writings. The glossary provides a concise alphabetical overview of classical Chinese military and philosophical works. It concentrates mainly on military treatises, e.g., the writings classified under the bingjia lei 兵家類 (military category), a subcategory in traditional Chinese bibliographies. Besides the famous Seven Military Classics it incorporates books from various modern collections (congshu) of military writings, including Zhongguo bingshu jicheng 中国兵书集成 (ZGBSJC) and Zhongguo bingxue daxi 中國兵學大系 (ZGBXDX), as well as those books which are part of the Siku quanshu 四庫全書 (SKQS) or the Xuxiu Siku quanshu 續修四庫全書 (XXSKQS). The glossary serves as a reference for identifying and contextualizing key works such as the Seven Military Classics (→ Wujing qishu 武经七书) of Ancient China and others, offering essential bibliographic information for further study of traditional Chinese thought and strategy. Many of the Chinese military writings/texts/books/works have various titles. The work known in English under the title The Art of War and attributed to the ancient Chinese military strategist Sun Wu or Sun Tzu (""Master Sun""; in Pinyin: Sunzi) is called in Chinese Sunzi bingfa 孫子兵法, Sunzi 孫子, Wujing 武經, Bingjing 兵經, Sun Wu bingfa 孫武兵法, or Wu Sunzi bingfa 吳孫子兵法, not to be confused with Sun Bin's Art of War (Sun Bin bingfa 孫臏兵法) of Sun Bin 孫臏, etc. Glossary Note: Each title is listed along with Pinyin, Chinese, the number of volumes (juan 卷), the dynastic period in which it was compiled or commented upon, and the names of the authors or commentators when known. The information provided does not claim to be complete or up-to-date. A [no entry] B Baihaozi binglei Baihaozi binglei 白毫子兵壘, 1 juan, (Ming) Yin Binshang 尹賓商 Baijiangzhuan Baijiangzhuan 百將傳, 1 juan, (Song) Zhang Yu 張預 Baizhan qifa Baizhan qifa 百戰奇法, 1 juan, (Song) Xie Fangde 謝枋得 (?) Bazhen hebian tushuo Bazhen hebian tushuo 八陣合變圖說, 1 juan, (Ming) Long Zheng 龍正 (or Lan Zhang 藍章) Bianyi shiliu ce Bianyi shiliu ce 便宜十六策, 1 juan, (Shu) Zhuge Liang 諸葛亮 (?) Bingjing Bingjing 兵經 (Bingjing baizi 兵經百字, Bingjing baipian 兵經百篇, Jiezi zhanshu 揭子戰書, Jiezi bingfa 揭子兵法), 1 juan, (Ming) Jie Xuan 揭暄 (see also Sunzi bingfa) Bingjing leibian Bingjing leibian 兵鏡類編, 1 juan, (Qing) Li Rui 李蕊 C Caolu jinglüe Caolu jinglüe 草廬經略, 1 juan, (Ming) anonymous Changduanjing Changduanjing 長短經, 1 juan, (Tang) Zhao Rui 趙蕤 Cheying kouda hebian Cheying kouda hebian 車營扣答合編, 1 juan, (Ming) Sun Chengzong 孫承宗 Chouhai tubian Chouhai tubian 籌海圖編, —, (Ming) Zheng Ruoceng 鄭若曾 Cuiwei beizheng lu Cuiwei beizheng lu 翠微北征錄, 12 juan (續修), (Song) Hua Yue 華岳 D Daodejing lunbing yaoyi Daodejing lunbing yaoyi 道德經論兵要義, 1 juan, (Tang) Wang Zhen 王真 Dengtan bijiu Dengtan bijiu 登壇必究, 1 juan, (Ming) Wang Minghe 王鳴鶴 Dushi fangyu jiyao Dushi fangyu jiyao 讀史方輿紀要, —, (Qing) Gu Zuyu 顧祖禹 H He boshi beilun He boshi beilun 何博士備論, 2 juan, (Song) He Qufei 何去非 Huogong qieyao Huogong qieyao 火攻挈要, 1 juan, (Ming) Jiao Xu 焦勖 Huangdi wen Xuannü bingfa Huangdi wen Xuannü bingfa 黃帝問玄女兵法, 1 juan, (Qing) Hong Yixuan 洪頤煊 (comp.) Huang Shigong sanlüe Huang Shigong sanlüe 黃石公三略, 3 juan, (Zhou) Huang Shigong 黃石公 (?); (Ming) Liu Yin 劉寅 (comm.) Huang Shigong sushu Huang Shigong sushu 黃石公素書, 1 juan, (Zhou) Huang Shigong 黃石公 (?); (Song) Zhang Shangying 張商英 (comm.) Huihuaji Huihuaji 灰畫集, 1 juan, (Qing) Li Pei 李培 Huqianjing Huqianjing 虎鈐經, 20 juan, (Song) Xu Dong 許洞 Huolong shenqi zhenfa Huolong shenqi zhenfa 火龍神器陣法, 1 juan, (Ming) Jiao Yu 焦玉 J Jiangnan jinglüe Jiangnan jinglüe 江南經略, 8 juan, (Ming) Zheng Ruozeng 鄭若曾 Jiangyuan Jiangyuan 將苑, 1 juan, (Shu) Zhuge Liang 諸葛亮 Jixiao xinshu Jixiao xinshu 紀效新書, 16 juan, (Ming) Qi Jiguang 戚繼光 K Kunwai chunqiu Kunwai chunqiu 閫外春秋, 1 juan, (Tang) Li Quan 李筌 L Liutao Liutao 六韜 (Taigong Liutao 太公六韜), 6 juan, (Zhou) Jiang Shang 姜尚 or Lü Wang 呂望 (?) Lianbing shiji Lianbing shiji 練兵實紀, 9 juan, (Ming) Qi Jiguang 戚繼光 Lidai bingzhi Lidai bingzhi 歷代兵制, —, (Song) Chen Fuliang 陳傅良 M Meiqin shi",https://en.wikipedia.org/wiki/Glossary_of_Chinese_military_writings
Harrogate War Memorial,"Harrogate War Memorial, also known colloquially as Harrogate Cenotaph, in Harrogate, North Yorkshire, England, was designed by Ernest Prestwich and unveiled by Henry Lascelles, 5th Earl of Harewood in 1923, in the presence of 10,000 people. It was said to be one of the last of England's outdoor war memorials to be unveiled, following the First World War. The monument is formed of an obelisk and plinth in Portland stone, and is 23 metres (75 feet) tall. It carries two large bronze plaques, containing 1,163 names of Harrogate casualties of the First and Second World Wars, including several women. It is decorated in bas relief by sculptor Gilbert Ledward, with two murals titled 1914, the Call to Arms, and 1918, Britannia with the Flag of Victory. In preparation for the monument's 2023 centenary, the details of all 1,163 war casualties were researched by two members of Harrogate Civic Society. It was found that over 300 of the dead had unknown graves, and that the youngest to die in action was aged 15 years. History This is a war memorial, not a cenotaph, because according to historian Terry-Mike Williams the ""definition of cenotaph is an empty tomb"", and this monument is not associated with any kind of tomb. It is a ""statement of memory"", which is now a Grade II* listed building. Harrogate war memorial, which stands in Prospect Square, Harrogate, North Yorkshire, was designed by Ernest Prestwich in 1922, with sculpture by Gilbert Ledward, When Prestwich won the design competition for the monument on 16 January 1922, Alderman J. Houfe said of the council's decision: ""there could be no question that the design stood out amongst the 80 sent in. The simplicity of the design added to the value"". The original cost estimate was £5,000 (equivalent to £360,209.07 in 2023), and the council struggled to raise the funds. Councillor Sir Henry Fleming donated 100 guineas (equivalent to £7,564.39 in 2023) towards the build. It was ultimately completed at a cost of £12,000 (equivalent to £864,501.78 in 2023). Prestwich's winning design called for Darley Dale white stone, although the memorial was built in Purbeck stone. By the time the ground was broken for the build, the estimated cost had risen to £10,000 (equivalent to £720,418.15 in 2023). The Minister for Education and MP for Ripon, Major Edward Wood, laid the foundation stone on 2 June 1922, in front of the mayor and corporation and a large crowd. In his speech, Wood said that ""the men staked everything for the high price of honour and the country's liberty, and in so doing left behind an abiding inspiration of the power of steadfast loyalty and self-sacrificing service"". It took a long time to build this monument, it being ""of so elaborate a nature"". By early May 1923, the build was nearing completion, with an expectation that its grounds would be laid out by the summer. However, following the First World War, it was ""one of the last to reach completion"", and its opening ceremony attracted ""one of the largest gatherings ever seen in Harrogate"". Unveiling ceremony The unveiling ceremony of the monument occurred on 1 September 1923, in weather described by The Leeds Mercury as ""weeping skies with spells of bright sunshine"", with ""rumbles of distant thunder"". The ceremony began with a procession which included the mayor (David Simpson) and corporation, and contingents of the military: the Royal Air Force, the Yorkshire Hussars, the band of the 5th Battalion West Yorkshire Regiment (York) with its regimental colours, and ""naval officers and men from HMS Adamant and the 2nd Submarine Flotilla"". At the corners of the monument's pedestal were stationed ""four non-commissioned officers of the Navy, Yorkshire Hussars, Infantry, and Royal Air Force"". Massed choirs, accompanied by the Municipal Orchestra, sang the hymn, ""The Supreme Sacrifice"". Although the first choice was at one point the Prince of Wales, in the event the monument was unveiled by Henry Lascelles, 5th Earl of Harewood, and ded",https://en.wikipedia.org/wiki/Harrogate_War_Memorial
Imperial Japanese Navy bases and facilities,"This is a list of Imperial Japanese Navy bases and facilities through the surrender of Japan ending World War II. Bases Atsugi Naval Air Base - now Naval Air Facility Atsugi operated by the Japan Maritime Self-Defense Force (JMSDF) and the US Navy Kure Naval Base - now a Japan Self-Defense Forces facility and museum Maizuru Naval Base Maizuru Naval District - now a Japan Self-Defense Forces facility and museum Hiroshima Naval Base Oroku Aerodrome/Oroku Naval Air Base - now the Naha Airport/Naha Air Base (JSADF, but the MSDF also has a presence) Kōchi Airfield - now Kōchi Ryōma Airport Truk Islands naval base Tokushima naval base with seaplane base opened in 1941 Dockyards Yokosuka Dockyards - now US Navy Yokosuka Ship Repair Facility and United States Fleet Activities Yokosuka Ishikawajima Naval Yard (Sumida River) - now IHI Corporation shipyard Kure Naval Dockyards - now Universal Shipbuilding Corporation shipyard owned by JFE Holdings and Hitachi Zosen Corporation Sasebo Naval Dockyards Maizuru Naval Dockyards Colleges and Training Facilities Nagasaki Training Station Tsukiji Naval College, Yedo Tsukiji Naval College Tokyo Naval Cadet Academy Meteorological Stations and other Support Facilities Minami-Tori-shima - meteorological station with co-located airstrip (now Minami Torishima Airport, a MSDF run facility) Chichi jima naval base - Communications and Supply base. The island was the site of the primary long range transmitters used by the IJN and IJA to maintain contact with their far flung forces in World War II. Co-located with a seaplane base. Both are now MSDF facilities. Hiratsuka Naval Ammunitions Arsenal (平塚海軍火薬廠 Hiratsuka Kaigun Kayaku Shō?) Kamiseya torpedo assembly plant - Nowadays the site of Naval Support Facility Kamiseya, formerly Kamiseya Naval Radio Receiving Facility (US Navy) Other This is a list of facilities outside Japan and under Japanese control: Piso Point, Eastern portion of Davao Gulf, Philippines Takeshiki (in Tsushima) Mekong (Pescadores) Ominato Alicante Naval Air Base, Negros, Visayas Amboina Naval Air Base Anibong Point Leyte Bacolod, Negros, Visayas Ballale, Fauro Island, Solomon Islands Bonis, Bougainville, Solomon Islands Brunei Bay, Brunei, North Borneo Buka Island, Solomon Islands Gasmata Kahili, Bougainville Kanoya Kara, Bougainville, Solomon Islands Kavieng Kendari Lae Lae Lahug, Cebu, Philippines Madang, New Guinea Munda, New Georgia, Solomon Islands Rabaul Naval Base Singapore Naval Base and Airfield, Malaya Singapore Palembang Airfield Peleliu Airfield, Palau Islands Penang submarine base, Malaya Saigon Airfield San Jose Airfield Saravia Airfield, Negros, Visayas Thudaumot Airfield Tuluvu Airfield, New Britain, Bismarck Archipelago Vila Airfield, Kolombangara, Solomon Islands Wewak Airfield, New Guinea, South West Pacific Camranh Bay Naval Anchorage, Indo China Faisi Naval Anchorage, Shortland Islands Lingga Roads Naval Anchorage, Malacca Strait Mako Naval Anchorage, Pescadores Samah Harbour, Naval Anchorage, Hainan Island, South East Asia Tawi-Tawi Naval Anchorage, Sulu Tonolei Naval Anchorage, Bougainville Palau Islands Naval Base Saipan Naval Base, Mariana Islands Kwajalein Atoll Naval Base (Submarine), Marshall Islands Taiwan Naval Base Buka Island Seaplane Base, Solomon Islands Rekata Bay Seaplane Base, Santa Isabel Island Shortland Islands Seaplane Base Tulagi Seaplane Base, Solomon Islands",https://en.wikipedia.org/wiki/Imperial_Japanese_Navy_bases_and_facilities
