label,claim
half-true,Large parts of Florida have experienced years of below average rainfall.
false,A study of private bail bond systems showed that Wisconsin has a higher no-show rate than other states of defendants skipping court appearances.
half-true,"Hillary Clinton was against setting a deadline for withdrawal, but now she wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad."
mostly-true,Ted Cruz is mathematically out of winning the race.
true,More black babies are aborted in NYC than born.
mostly-true,Says Mitt Romney flip-flopped on gun control.
half-true,"In the fall of 2009, only 21 percent of Texas high school graduates enrolled in a four-year public university."
true,Health care premiums for consumers have doubled since 2001.
mostly-true,Says more than eight countries lead the United States in the percentage of college graduates.
true,"The cost to implement Florida's class size amendment so far has been ""$16 billion."""
barely-true,"(Big banks) have invested over $300,000 in (Joe Heck), and Heck has sponsored $44 million dollars in tax breaks for banks."
barely-true,We were promised. The president said we would keep unemployment under 8.5 percent (if the stimulus passed).
pants-fire,Says Kurt Schrader supports Obamas sequester but wont cut $1.6 million to fund new video games.
half-true,The GOP budget plan would cut nearly a million jobs.
mostly-true,Providence graduation rates are up.
pants-fire,"Mercury is used in vaccines, and there is no safe level of mercury."
barely-true,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent."
half-true,There is no precedent for what the Democrats are doing with this deception. ... We have never written a reconciliation bill to amend a law that does not exist.
mostly-true,We will not ask for a tax increase to run city government.
barely-true,"Now, in the House of Representatives, we have 40 different jobs bills that have passed and almost all of them have been bipartisan."
mostly-true,"Says David Rivera received a $5,000 campaign contribution from Congressman Spencer Bachus, who is currently under House Ethics investigation for insider trading."
half-true,"As a state rep, I was considered the fourth-most conservative in the Legislature.	states	rick-green			republican	0	1	1	0	0	a speech
2552.json	mostly-true	Rand Paul wants us to pay $2,000 just to get Medicare.	health-care,medicare,message-machine	jack-conway	Kentucky Attorney General	Kentucky	democrat	0	1	0	2	0	a campaign commercial
9353.json	mostly-true	Says Hillary Clinton opposed an individual mandate and favored an employer mandate back in 1993.	health-care,public-health	bobby-jindal	Governor of Louisiana	Louisiana	republican	0	1	4	4	0	an op-ed for Politico Magazine
9577.json	mostly-true	There are more than 46 million Americans living in poverty today -- the largest number in 54 years.	medicaid,poverty	kirk-cox	House majority leader	Virginia	republican	0	0	0	1	0	a speech.
4318.json	half-true	Since I introduced my budget -- first budget -- in March of 2010, weve created 50,000 new private-sector jobs for the people of this state.	jobs,state-budget	chris-christie	Governor of New Jersey	New Jersey	republican	10	17	27	19	8	a news conference in Belmar 
9864.json	mostly-true	Scott Walker cut school funding more per student than any governor in America.	children,education,message-machine-2014,state-budget,states,taxes	greater-wisconsin-political-fund		Wisconsin	none	3	3	3	1	1	a TV ad
8243.json	true	Says he would be first CPA to serve as Texas comptroller.	state-finances	raul-torres	Accountant, politician	Texas	republican	0	0	0	0	0	a campaign video
13500.json	mostly-true	On Donald Trumps plan to cut federal funding to sanctuary cities, because of a decision by the Supreme Court, no presidents in a position to cut off funding across the board. It has to be very specific to the matter at hand.	city-budget,county-budget,federal-budget,homeland-security,immigration,state-budget	bill-de-blasio	New York City Mayor	New York	democrat	1	0	0	1	0	a WNYC interview
9854.json	false	Thomas Jefferson said, That government is best which governs the least, because its people discipline themselves.	elections	jody-hice			republican	0	1	0	0	0	a Facebook post
7737.json	barely-true	Proposed gun control legislation will outlaw practically every firearm, make you pay $100 per firearm, put you into a police database and make it nearly impossible to get a permit to carry a concealed weapon.	crime,criminal-justice,government-regulation,guns,market-regulation	ed-doyle	administrator, Rhode Island chapter, Gun Rights Across America.	Rhode Island	activist	1	0	0	0	0	a news release and Facebook post
12293.json	barely-true	Says Donald Trump thinks a grown man pretending to be a woman (should) be allowed to use the womens restroom.	candidates-biography,corrections-and-updates,gays-and-lesbians,campaign-advertising	ted-cruz	Senator	Texas	republican	36	33	15	19	8	an attack ad
457.json	half-true	McCain has voted repeatedly at least six times against funding for global HIV/AIDS, malaria and TB fund, once as one of only 14 senators."""
false,Says Virginia economic development officials decided they didnt want to bid on his companys electric automobile plant.
true,"Since 2009, Georgias public schools have lost nearly 9,000 classroom teachers while the number of students has gone up."
pants-fire,The fact is voter fraud is rampant.
barely-true,"In June, jobless ranks were higher in nearly 90 percent of U.S. cities."
barely-true,Rhode Island is one of the worst states for income equality.
mostly-true,Congress will begin its recess without having allocated one penny to fight Zika.
mostly-true,Says Milwaukee County Parks director Sue Black has not received a pay raise in five years.
barely-true,"Says Tammy Baldwin introduced a bill that would require doctors and other health care workers to ask patients, including young children, whether they are gay, lesbian, bisexual, or if they know their gender identity."
half-true,"Under my predecessor, they cut funding for education, but they didnt give them anything in return to make up for that, leading to less money for school districts"
false,The health bill's plan for comparative effectiveness research would be used by the government to ration care.
half-true,Weve had a dramatic drop in violent crime since this law (stand your ground) has been in effect.
half-true,We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale.
false,We will be the first party to elect a bald guy to governor.
half-true,"Says his office has already recovered over $2 billion from Wall Street for the workers, retirees, and investors who were harmed."
half-true,We have SAT scores lower than that of Alabama.
barely-true,Gene Green is the NRAs favorite Democrat in Congress. ... Its no wonder the congressman has a lifetime A rating from the NRA.
true,Governor Carcieri has not been campaigning with me.
false,A defense bill includes language that would require military hospitals to provide abortions on demand.
mostly-true,President Barack Obama has deported more people in his first year in office than George W. Bush in his last year in office.
half-true,One state even spent a million bucks to put up signs that advertise that they were spending on the federal stimulus projects.
false,"The Obama administration ""was successful in rushing a massive spending bill through Congress in just two days after which it sat on the president's desk for three days, while he was away on vacation."""
barely-true,Senate Democrats who left the state for weeks to delay a vote on union bargaining power exercised a Wisconsin filibuster provided by the states constitution.
mostly-true,"The average fast food worker is 29, and most fast food workers are on some form of public assistance."
mostly-true,Oil money from federal leases can only be used to clean up the mess and damages from drilling.
mostly-true,Large phone companies and their trade association have hired 35 registered lobbyists to influence and pass SB 271 (deregulation legislation).
pants-fire,Our numbers are going up at the airport.
pants-fire,I asked (then-Secretary of State Condoleezza Rice) how many people had died and she did not know the answer to that question.
barely-true,Says Barack Obamas favorability rating in Israel once clocked in at 4 percent.
half-true,The Affordable Care Act is bringing the cost of health care in our country down.
mostly-true,"In America, we pay, by far, the highest prices in the world for prescription drugs."
mostly-true,There are 4.7 percent of Virginians who are minimum wage earners who are over 25 years of age working full-time and trying to raise a family.
mostly-true,"Barack Obama is ""the only candidate who doesn't take a dime from oil company PACs or lobbyists."""
barely-true,"We have a goal of 10 percent of [City of Providence] contracts going to women and minority businesses. In reality, less than 1 percent of contracts go to women and minority businesses."
pants-fire,"Says Reps. Rush Holt, Frank Pallone and Bill Pascrell are willing to jeopardize seniors access to coverage by gutting $741 billion from Medicare to pay for a big-government healthcare takeover."
barely-true,I have always been focused on reining in the deficit.
half-true,The poverty rates in America today arent much better than when we started the War on Poverty.
barely-true,The projected $1.8 billion state budget shortfall for 2015-17 actually comes from an assumption based on zero growth. That just doesnt happen.
false,Do you know that we have pipes carrying natural gas in this country that are made of wood? Im not joking.
mostly-true,Eighty percent of the antibiotics in this country are fed to livestock.
pants-fire,"Although the governor doubled the beach fees . . . all the money, as we found out, is all going to an out-of-state company. The state isnt even getting the money for that."
false,We import more oil today than ever before.
true,"Right now, here in Texas, wind power is already cheaper than dirty fossil fuels."
mostly-true,Says Mitt Romney has flip-flopped on his support for President Reagans policies.
half-true,Says Romney said we should ask Pakistan for permission to take a shot at Osama bin Laden.
true,The Dallas Cowboys cant put a sticker on their helmets for the 5 police officers who were killed.
false,Says Bruce Starr broke the law by letting lobbyists wine and dine him in Maui.
barely-true,Tampa Bay isleading the state in jobs creation.
half-true,Al Franken said almost exactly what Trump said about John McCains military record.
half-true,Says Marshawn Lynch is second all-time in terms of average yards per rush only to Terrell Davis.
half-true,We went from a $5.6 trillion surplus that George Bush inherited to over ... $11-plus trillion debt when George Bush left office.
pants-fire,President Barack Obama met with Iranian president Hassan Rouhani.
half-true,Says restoring Georgia pre-k to a 180-day program was a real result of his leadership.
true,Virginia is the only state that has a tradition of attorneys general resigning if they run for governor.
true,Georgias unemployment rate has exceeded the national rate for 50 consecutive months.
true,Seventy percent of Americans dont have a college degree.
barely-true,The Social Security trust fund is already facing imminent bankruptcy.
barely-true,There is no Plan B if the transportation referendum is not passed by voters.
true,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.
false,Says a Sanders campaign ad never said ... a newspaper endorsed us that did not.
false,Says Austin is the largest city in the U.S. without nonstop flights to Europe.
half-true,"By 12th grade, more than 3 out of 10 girls have been pregnant at least once."
pants-fire,"Says President Barack Obama told a room of students, Children, every time I clap my hands together, a child in America dies from gun violence, and then a child told him he could solve the problem by not clapping any more."
false,Not a single segment of the proposed Beltline intersects the MARTA system at MARTA stations.
pants-fire,Says Wendys founder Dave Thomas left the state literally on his deathbed to avoid the estate tax.
true,The minimum number of infrastructure (needs) in Atlanta is $900 million.
false,"He was offered medical care for his injuries if he would give up military information in return. John McCain said, 'No.' "
false,"The U.S. gives foreign aid to Cuba and Venezuela, even though those countries are our enemies."
barely-true,Says an EPA permit languished under Strickland but his new EPA director got it done in two days.
false,Says Kay Hagan supports waivers for friends of Obama and special treatment for Congress and their staffs.
barely-true,Says Donald Trump is against minimum wage.
mostly-true,Says Rick Scott gave a deposition in which he invoked the Fifth Amendment 75 times about his dealings as head of Columbia/HCA hospital chain
mostly-true,"Theres at least 7,500 addicted gamblers in Rhode Island, at least, it could be as high as 22,000."
pants-fire,Says President Obama has waived the work requirement for welfare.
