text,label
“El régimen de Irán ha confesado que (el Cuerpo de la Guardia Revolucionaria Islámica) bombardeó por error… una escuela iraní” el 28 de febrero.,false
Iran released a list of U.S. cities it will target.,false
"The Biden administration ""reversed"" a policy of deporting people in the country illegally who have committed felonies.",false
The 2015 Iran nuclear agreement “gave (Iran) the right to have top-of-the-line nuclear weapons.”,false
"Artificial intelligence data centers ""drive up electric bills by 30 or 40%"" and ""suck up 500,000 gallons of water a day.”",half-true
"Video shows a US air base in Riyadh, Saudi Arabia, being destroyed by Iran.",false
On the US seeking regime change,full-flop
"NC state Sen. Phil Berger, R-Rockingham, “killed a bill banning sex-change surgeries for minors.”",barely-true
"“There is no history … that shows an air campaign alone will result in positive regime change. In fact, there's not a single example of it in the entirety of American history.”",mostly-true
“The regime in Iran has now confessed that the (Islamic Revolutionary Guard Corps) mistakenly bombed an Iranian school yesterday.”,false
"“Israeli shooter opened fire inside an Austin (Texas) bar” on March 1, 2026.",false
Videos show Iranian missiles struck and damaged the USS Abraham Lincoln aircraft carrier.,pants-fire
"U.S. men’s hockey Olympian Brady Tkachuk said about the Canadian hockey team, “They booed our national anthem, so I had to come out and teach those maple syrup eating f----s a lesson.”",pants-fire
An Instagram video shows a New York City man sculpting a car out of snow.,false
An audio clip reveals a Jeffrey Epstein victim’s account of abuse by the Clintons.,pants-fire
"President Donald Trump’s tariff policies “have forced American families to pay more than $1,700 each in tariff costs” since last year.",mostly-true
Says Sam Page “got busted calling Trump’s (immigration) plan unrealistic.”,false
“Nearly 27% of all homes sold in the first quarter of 2025 were bought by investors.”,half-true
"Imagen muestra a Puerto Vallarta, México, después de la muerte de Nemesio “El Mencho” Oseguera Cervantes, el líder del Cártel Jalisco Nueva Generación.",false
"After U.S. vessel strikes in the Caribbean Sea and Pacific Ocean, “drugs entering our country by sea are down 97%.”",false
"Image shows Puerto Vallarta, Mexico, after the killing of Nemesio “El Mencho” Oseguera Cervantes, the head of Jalisco New Generation Cartel.",false
Says “90% of health care spending treats chronic disease.”,false
New York ranks No. 1 in the nation for individual tax burden.,mostly-true
The Epstein files “expose Ellen DeGeneres” as a cannibal.,pants-fire
"Savannah Guthrie's husband’s company is listed as a ""co conspirator"" in the Epstein files, “in case you're wondering why now of all times for (her) mother to be 'kidnapped.'""",false
"Crime in Minneapolis “is down 25, 30% because we’ve removed thousands of criminals from the area.”",barely-true
“New Yorkers pay 49% more than the national average for electricity.”,mostly-true
Said she has led the House effort to build a large Micron semiconductor facility near Syracuse.,half-true
"""The crime rate now is the lowest it's been since 1900. That's 125 years.""",half-true
"“Durante su presentación en el Super Bowl, Bad Bunny le regaló su premio Grammy a Liam Conejo Ramos”, el niño de 5 años que fue detenido por ICE.",false
An image shows Bad Bunny wearing a dress and burning the U.S. flag.,pants-fire
“We right now have more factories and plants being built in our country than we've ever had before.”,half-true
"During the Super Bowl halftime show, “Bad Bunny brought Liam Conejo Ramos onto the stage,” the 5-year-old detained by Immigration and Customs Enforcement in Minneapolis.",false
"An image shows Jeffrey Epstein “still alive and walking the streets of Tel Aviv,” Israel.",pants-fire
"Under Michigan Gov. Gretchen Whitmer, there are “fewer families living in poverty” than under her predecessor.",half-true
"Among Somalis in Minnesota, “92% of them don’t work.”",pants-fire
